Dim;point_gen_method;input_file;spanner_method;epsilon;Points;Edges;Sparseness;Edges to points ratio
2;exp;dist_matrix_points_2_100_exp.txt;blind-random-bad-ratio;0.5;100;582;0.117576;5.82
2;exp;dist_matrix_points_2_100_exp.txt;blind-random-bad-ratio-connect-first;0.5;100;606;0.122424;6.06
2;exp;dist_matrix_points_2_100_exp.txt;blind-random-bad-ratio-lower-bound-first;0.5;100;509;0.102828;5.09
2;exp;dist_matrix_points_2_100_exp.txt;greedy-non-blind;0.01;100;545;0.110101;5.45
2;exp;dist_matrix_points_2_100_exp.txt;blind-quasi-sorted-greedy;0.01;100;4942;0.998384;49.42
2;exp;dist_matrix_points_2_100_exp.txt;blind-quasi-sorted-shaker;0.01;100;4938;0.997576;49.38
2;exp;dist_matrix_points_2_100_exp.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.01;100;1568;0.316768;15.68
2;exp;dist_matrix_points_2_100_exp.txt;blind-random-bad-ratio;0.01;100;1674;0.338182;16.74
2;exp;dist_matrix_points_2_100_exp.txt;blind-random-bad-ratio-connect-first;0.01;100;1680;0.339394;16.8
2;exp;dist_matrix_points_2_100_exp.txt;blind-random-bad-ratio-lower-bound-first;0.01;100;1633;0.329899;16.33
2;normal;dist_matrix_points_2_100_normal.txt;greedy-non-blind;0.1;100;401;0.0810101;4.01
2;normal;dist_matrix_points_2_100_normal.txt;blind-quasi-sorted-greedy;0.1;100;4940;0.99798;49.4
2;normal;dist_matrix_points_2_100_normal.txt;blind-quasi-sorted-shaker;0.1;100;4923;0.994545;49.23
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.1;100;1917;0.387273;19.17
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio;0.1;100;2092;0.422626;20.92
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-connect-first;0.1;100;2032;0.410505;20.32
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-lower-bound-first;0.1;100;1845;0.372727;18.45
2;normal;dist_matrix_points_2_100_normal.txt;greedy-non-blind;0.2;100;282;0.0569697;2.82
2;normal;dist_matrix_points_2_100_normal.txt;blind-quasi-sorted-greedy;0.2;100;4851;0.98;48.51
2;normal;dist_matrix_points_2_100_normal.txt;blind-quasi-sorted-shaker;0.2;100;4875;0.984848;48.75
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.2;100;1528;0.308687;15.28
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio;0.2;100;1616;0.326465;16.16
