spanner_method;dim;n_points;epsilon;point_method;n_edges;sparseness
quasi;2;200;0.1;get_points;1280;0.06432160804020101
greedy;2;200;0.01;get_exponential_points;1446;0.07266331658291457
random;2;200;0.01;get_exponential_points;4497;0.22597989949748742
quasi;2;200;0.01;get_exponential_points;2244;0.11276381909547739
greedy;2;200;0.01;get_uniform_points;2321;0.11663316582914574
random;2;200;0.01;get_uniform_points;8222;0.41316582914572864
quasi;2;200;0.01;get_uniform_points;3352;0.16844221105527638
greedy;2;200;0.2;get_points;563;0.02829145728643216
random;2;200;0.2;get_points;3522;0.17698492462311557
quasi;2;200;0.2;get_points;851;0.042763819095477384
greedy;2;200;0.1;get_exponential_points;503;0.02527638190954774
random;2;200;0.1;get_exponential_points;2440;0.12261306532663317
quasi;2;200;0.1;get_exponential_points;767;0.0385427135678392
greedy;2;200;0.2;get_uniform_points;546;0.02743718592964824
random;2;200;0.2;get_uniform_points;3505;0.17613065326633165
quasi;2;200;0.2;get_uniform_points;854;0.042914572864321605
greedy;2;200;0.2;get_exponential_points;363;0.018241206030150753
random;2;200;0.2;get_exponential_points;1990;0.1
quasi;2;200;0.2;get_exponential_points;532;0.026733668341708542
greedy;2;200;0.01;get_points;2446;0.12291457286432161
random;2;200;0.01;get_points;8067;0.40537688442211056
quasi;2;200;0.01;get_points;3533;0.17753768844221104
greedy;2;200;0.5;get_exponential_points;258;0.012964824120603015
random;2;200;0.5;get_exponential_points;1178;0.059195979899497486
quasi;2;200;0.5;get_exponential_points;359;0.018040201005025125
greedy;2;200;0.5;get_points;378;0.01899497487437186
random;2;200;0.5;get_points;2503;0.12577889447236182
quasi;2;200;0.5;get_points;566;0.028442211055276383
greedy;2;200;0.5;get_uniform_points;349;0.017537688442211055
random;2;200;0.5;get_uniform_points;2386;0.11989949748743718
quasi;2;200;0.5;get_uniform_points;509;0.02557788944723618
greedy;2;200;2.0;get_points;236;0.01185929648241206
random;2;200;2.0;get_points;1004;0.050452261306532666
