n_points;avg_ratio_dim_0_q_1_eps_001;max_ratio_dim_0_q_1_eps_001;avg_ratio_dim_0_q_2_eps_001;max_ratio_dim_0_q_2_eps_001
100;5.99249982833862;13.5;7.23124980926514;15
300;7.06969863892325;16.9551651619707;7.63184307212486;20.5884148395359
420;6.3918820011051;19.8227443309868;9.07176481375962;23.2536039267345
500;6.63123304657684;23.7127496404855;8.29390478327633;21.8601910748225
700;6.4874743148293;17.5740868317316;8.25630591309973;20.3859407248087
900;5.84075244521526;13.8783460968413;8.61811411998963;25.0487222235673
1100;6.89322370468489;20.7141946212455;8.05798600569372;21.3717881012851
1300;6.52548790901125;14.1299937159757;7.52582716335592;24.0852165613223
1500;6.3395534279668;16.3723255280331;8.19088535805588;30.8555365720623
1700;6.73126285802899;17.9541609886388;8.7410449520474;23.2165874853088
1900;7.04078497321787;17.9946428370995;8.19747495702233;33.8543280494584
2100;6.84707945137747;17.1572057541028;7.20527390769886;18.3612201929872
2300;6.71083459649359;17.2530326157244;8.2137818954943;21.7150238094462
2500;6.96230635413724;25.8980440429823;10.3084516098556;57.6820071866423
2700;7.40084765218353;20.108622909851;7.98006319843957;24.7714919903962
2900;7.09118356295754;15.8849444903142;8.28544263756162;18.4842990432747
3100;7.37606206184149;16.8988506989103;8.75016738913407;26.6371714406552
3300;6.85871936481848;17.9052864580058;7.66090468427746;19.3263409387999
3500;6.90449478033103;16.9296975253193;8.55443484193166;31.6021020472627
3700;7.63830110190678;16.2546863897292;8.35995334078427;22.9807635165137
3900;7.29170937629671;21.4421093536822;7.78947273537752;18.1004819219395
