Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
4;0.5;100;exp;query_1;0.03;0.09;0.055999999999999994;3;9;5.6
5;0.01;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
5;0.001;100;normal;query_1;0.06;0.18;0.11200000000000002;6;18;11.2
5;0.001;100;exp;query_1;0.02;0.12;0.064;2;12;6.4
4;0.001;100;unif;query_2;0.19;0.35;0.259;19;35;25.9
5;0.001;100;exp;query_2;0.06;0.09;0.07300000000000001;6;9;7.3
5;0.01;100;unif;query_1;0.02;0.04;0.024;2;4;2.4
5;0.01;100;normal;query_2;0.02;0.13;0.07200000000000001;2;13;7.2
5;0.1;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
5;0.01;100;exp;query_2;0.01;0.1;0.05600000000000001;1;10;5.6
5;0.01;100;exp;query_1;0.01;0.1;0.063;1;10;6.3
5;0.1;100;normal;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
5;0.1;100;unif;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
5;0.1;100;unif;query_2;0.02;0.03;0.020999999999999998;2;3;2.1
5;0.001;100;unif;query_1;0.11;0.29;0.20700000000000002;11;29;20.7
5;0.001;100;normal;query_2;0.18;0.35;0.223;18;35;22.3
5;0.5;100;normal;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
5;0.5;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
5;0.5;100;unif;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
5;0.1;100;exp;query_1;0.03;0.09;0.05499999999999999;3;9;5.5
5;0.1;100;exp;query_2;0.03;0.11;0.06799999999999999;3;11;6.8
5;0.5;100;unif;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
5;0.5;100;exp;query_1;0.02;0.07;0.051000000000000004;2;7;5.1
5;0.5;100;exp;query_2;0.04;0.09;0.06200000000000001;4;9;6.2
5;0.01;100;unif;query_2;0.05;0.36;0.189;5;36;18.9
