n_points,ratio_greedy_dim_0_eps_01_q_1,ratio_blind_greedy_dim_0_eps_01_q_1,sparseness_greedy_dim_0_eps_01_q_1,sparseness_blind_greedy_dim_0_eps_01_q_1,blind_non_blind_ratio_dim_0_eps_01_q_1,ratio_greedy_dim_0_eps_02_q_1,ratio_blind_greedy_dim_0_eps_02_q_1,sparseness_greedy_dim_0_eps_02_q_1,sparseness_blind_greedy_dim_0_eps_02_q_1,blind_non_blind_ratio_dim_0_eps_02_q_1,ratio_greedy_dim_0_eps_05_q_1,ratio_blind_greedy_dim_0_eps_05_q_1,sparseness_greedy_dim_0_eps_05_q_1,sparseness_blind_greedy_dim_0_eps_05_q_1,blind_non_blind_ratio_dim_0_eps_05_q_1,ratio_greedy_dim_0_eps_01_q_2,ratio_blind_greedy_dim_0_eps_01_q_2,sparseness_greedy_dim_0_eps_01_q_2,sparseness_blind_greedy_dim_0_eps_01_q_2,blind_non_blind_ratio_dim_0_eps_01_q_2,ratio_greedy_dim_0_eps_02_q_2,ratio_blind_greedy_dim_0_eps_02_q_2,sparseness_greedy_dim_0_eps_02_q_2,sparseness_blind_greedy_dim_0_eps_02_q_2,blind_non_blind_ratio_dim_0_eps_02_q_2,ratio_greedy_dim_0_eps_05_q_2,ratio_blind_greedy_dim_0_eps_05_q_2,sparseness_greedy_dim_0_eps_05_q_2,sparseness_blind_greedy_dim_0_eps_05_q_2,blind_non_blind_ratio_dim_0_eps_05_q_2,ratio_greedy_dim_1_eps_01_q_1,ratio_blind_greedy_dim_1_eps_01_q_1,sparseness_greedy_dim_1_eps_01_q_1,sparseness_blind_greedy_dim_1_eps_01_q_1,blind_non_blind_ratio_dim_1_eps_01_q_1,ratio_greedy_dim_1_eps_02_q_1,ratio_blind_greedy_dim_1_eps_02_q_1,sparseness_greedy_dim_1_eps_02_q_1,sparseness_blind_greedy_dim_1_eps_02_q_1,blind_non_blind_ratio_dim_1_eps_02_q_1,ratio_greedy_dim_1_eps_05_q_1,ratio_blind_greedy_dim_1_eps_05_q_1,sparseness_greedy_dim_1_eps_05_q_1,sparseness_blind_greedy_dim_1_eps_05_q_1,blind_non_blind_ratio_dim_1_eps_05_q_1,ratio_greedy_dim_1_eps_01_q_2,ratio_blind_greedy_dim_1_eps_01_q_2,sparseness_greedy_dim_1_eps_01_q_2,sparseness_blind_greedy_dim_1_eps_01_q_2,blind_non_blind_ratio_dim_1_eps_01_q_2,ratio_greedy_dim_1_eps_02_q_2,ratio_blind_greedy_dim_1_eps_02_q_2,sparseness_greedy_dim_1_eps_02_q_2,sparseness_blind_greedy_dim_1_eps_02_q_2,blind_non_blind_ratio_dim_1_eps_02_q_2,ratio_greedy_dim_1_eps_05_q_2,ratio_blind_greedy_dim_1_eps_05_q_2,sparseness_greedy_dim_1_eps_05_q_2,sparseness_blind_greedy_dim_1_eps_05_q_2,blind_non_blind_ratio_dim_1_eps_05_q_2,ratio_greedy_dim_1_eps_01_q_3,ratio_blind_greedy_dim_1_eps_01_q_3,sparseness_greedy_dim_1_eps_01_q_3,sparseness_blind_greedy_dim_1_eps_01_q_3,blind_non_blind_ratio_dim_1_eps_01_q_3,ratio_greedy_dim_1_eps_02_q_3,ratio_blind_greedy_dim_1_eps_02_q_3,sparseness_greedy_dim_1_eps_02_q_3,sparseness_blind_greedy_dim_1_eps_02_q_3,blind_non_blind_ratio_dim_1_eps_02_q_3,ratio_greedy_dim_1_eps_05_q_3,ratio_blind_greedy_dim_1_eps_05_q_3,sparseness_greedy_dim_1_eps_05_q_3,sparseness_blind_greedy_dim_1_eps_05_q_3,blind_non_blind_ratio_dim_1_eps_05_q_3
50,9.22,15.96,0.376326530612245,0.651428571428571,1.73101952277657,5.14,11.94,0.209795918367347,0.48734693877551,2.32295719844358,2.22,7.4,0.0906122448979592,0.302040816326531,3.33333333333333,17.2,23.78,0.702040816326531,0.970612244897959,1.38255813953488,9.64,22.1,0.393469387755102,0.902040816326531,2.29253112033195,3.56,13.6,0.14530612244898,0.555102040816327,3.82022471910112,15.78,23.98,0.644081632653061,0.978775510204082,1.51964512040558,8.5,21,0.346938775510204,0.857142857142857,2.47058823529412,4.16,15.68,0.169795918367347,0.64,3.76923076923077,23.56,24.5,0.961632653061224,1,1.03989813242784,20.18,24.32,0.823673469387755,0.99265306122449,1.20515361744301,6.58,22.2,0.268571428571429,0.906122448979592,3.37386018237082,22.1,24.36,0.902040816326531,0.994285714285714,1.10226244343891,22.44,24.22,0.915918367346939,0.988571428571429,1.07932263814617,7.24,20.38,0.295510204081633,0.831836734693878,2.81491712707182
100,12.42,26.06,0.250909090909091,0.526464646464646,2.09822866344605,7.12,18.7,0.143838383838384,0.377777777777778,2.62640449438202,3.17,11.95,0.064040404040404,0.241414141414141,3.76971608832808,26.41,41.62,0.533535353535354,0.840808080808081,1.57591821279818,13.42,35.93,0.271111111111111,0.725858585858586,2.67734724292101,4.31,18.61,0.0870707070707071,0.375959595959596,4.31786542923434,31.12,48.76,0.628686868686869,0.985050505050505,1.56683804627249,16.71,39.66,0.337575757575758,0.801212121212121,2.37342908438061,5.72,24.17,0.115555555555556,0.488282828282828,4.22552447552448,43.44,49.49,0.877575757575758,0.99979797979798,1.13927255985267,34.13,46.93,0.689494949494949,0.948080808080808,1.37503662467038,8.98,35.58,0.181414141414141,0.718787878787879,3.96213808463252,45.06,49.08,0.91030303030303,0.991515151515151,1.08921438082557,37.45,46.35,0.756565656565657,0.936363636363636,1.23765020026702,10.74,38.06,0.216969696969697,0.768888888888889,3.54376163873371
200,19.97,44.595,0.20070351758794,0.448190954773869,2.23309964947421,9.99,28.415,0.100402010050251,0.285577889447236,2.84434434434434,3.68,14.855,0.0369849246231156,0.14929648241206,4.0366847826087,39.87,71.57,0.40070351758794,0.71929648241206,1.79508402307499,18.34,52.125,0.184321608040201,0.523869346733668,2.84214830970556,5.12,26.055,0.0514572864321608,0.261859296482412,5.0888671875,54.54,94.815,0.548140703517588,0.952914572864322,1.73844884488449,25.975,72.635,0.26105527638191,0.73,2.79634263715111,8.315,37.285,0.0835678391959799,0.374723618090452,4.48406494287432,80.405,97.385,0.808090452261306,0.978743718592965,1.2111808967104,62.09,87.47,0.624020100502513,0.879095477386935,1.40876147527782,13.78,64.61,0.138492462311558,0.649346733668342,4.68867924528302,83.785,98.265,0.842060301507538,0.987587939698492,1.17282329772632,65.39,88.795,0.657185929648241,0.892412060301508,1.35792934699495,14.175,57.1,0.142462311557789,0.573869346733668,4.02821869488536
400,26.0075,68.4725,0.130363408521303,0.343220551378446,2.63279823127944,11.875,37.975,0.0595238095238095,0.190350877192982,3.19789473684211,4.03,18.5175,0.0202005012531328,0.0928195488721805,4.59491315136476,55.4725,112.6675,0.278057644110276,0.564749373433584,2.0310514218757,24.6075,75.71,0.123345864661654,0.379498746867168,3.07670425683227,5.8875,33.51,0.0295112781954887,0.16796992481203,5.69171974522293,89.0025,179.7,0.446127819548872,0.900751879699248,2.01904440886492,40.555,123.0625,0.20328320802005,0.616854636591479,3.03445937615584,11.4975,58.4375,0.0576315789473684,0.292919799498747,5.08262665796912,140.455,193.225,0.704035087719298,0.968546365914787,1.37570752198213,91.505,163.2375,0.458671679197995,0.818233082706767,1.78391891153489,18.1875,97.3675,0.0911654135338346,0.488057644110276,5.35353951890034,137.3525,192.9775,0.688483709273183,0.967305764411028,1.4049798875157,88.7975,155.8575,0.445100250626566,0.781240601503759,1.75520144148202,19.04,91.4975,0.0954385964912281,0.458634085213033,4.80554096638655
500,26.932,74.092,0.107943887775551,0.296961923847695,2.7510767859795,12.254,40.254,0.0491142284569138,0.161338677354709,3.28496817365758,4.102,19.596,0.0164408817635271,0.0785410821643287,4.77718186250609,58.468,122.234,0.234340681362725,0.489915831663327,2.09061366901553,24.814,79.102,0.0994549098196393,0.317042084168337,3.18779721125171,6.03,35.266,0.0241683366733467,0.141346693386774,5.84842454394693,101.408,221.81,0.406444889779559,0.889018036072144,2.18730277690123,46.972,142.866,0.188264529058116,0.572609218436874,3.04151409350251,12.002,63.406,0.0481042084168337,0.254132264529058,5.28295284119313,166.956,240.702,0.669162324649299,0.9647374749499,1.44170919284123,95.692,184.432,0.383535070140281,0.739206412825651,1.92735024871463,19.872,108.124,0.0796472945891784,0.433362725450902,5.44102254428341,163.724,240.096,0.656208416833667,0.962308617234469,1.46646795827124,103.31,192.684,0.414068136272545,0.772280561122245,1.86510502371503,19.25,96.958,0.0771543086172345,0.388609218436874,5.03677922077922
600,30.89,87.265,0.10313856427379,0.291368948247078,2.82502427970217,13.65,48.32,0.045575959933222,0.161335559265442,3.53992673992674,4.335,21.46,0.0144741235392321,0.071652754590985,4.95040369088812,63.965,139.96,0.213572621035058,0.467312186978297,2.18807160165716,25.845,83.2716666666667,0.0862938230383973,0.278035614913745,3.22196427419875,6.06,36.7583333333333,0.0202337228714524,0.122732331663884,6.06573157315732,112.953333333333,259.471666666667,0.377139677239844,0.866349471341124,2.29715811839698,47.8933333333333,157.761666666667,0.159910962715637,0.526750139120757,3.29402143652561,12.8883333333333,68.6683333333333,0.0430328324986088,0.229276572064552,5.32794517005043,184.843333333333,290.116666666667,0.61717306622148,0.96867000556483,1.56952734748345,102.708333333333,214.273333333333,0.342932665553701,0.715436839176405,2.08623123732252,20.225,112.321666666667,0.0675292153589316,0.3750306065665,5.55360527400082,185.458333333333,279.035,0.619226488592098,0.931669449081803,1.50456975960458,96.4666666666667,208.375,0.322092376182526,0.695742904841402,2.16007256392536,21.795,115.626666666667,0.072771285475793,0.386065664997218,5.3051923223981
700,31.4,92.7771428571429,0.0898426323319027,0.265456774984672,2.95468607825296,13.77,50.2785714285714,0.0393991416309013,0.143858573472307,3.65131237680257,4.38714285714286,22.1457142857143,0.0125526262006949,0.0633639893725731,5.04786714425269,64.4771428571429,151.047142857143,0.184483956672798,0.432180666257919,2.34264634200381,27.0557142857143,89.3314285714286,0.0774126302881668,0.255597792765175,3.30175827657215,5.80142857142857,34.7585714285714,0.0165992233803393,0.0994522787655835,5.99138143314455,130.491428571429,297.837142857143,0.373366033108522,0.852180666257919,2.28242686985462,55.0757142857143,180.29,0.157584304107909,0.51585121602289,3.27349363214276,13.79,76.6914285714286,0.0394563662374821,0.21943184140609,5.561379881902,207.84,335.027142857143,0.594678111587983,0.958589822194972,1.61194737710327,115.705714285714,249.224285714286,0.331060698957695,0.713088085019415,2.15394967528459,20.8914285714286,116.585714285714,0.0597751890455753,0.333578581647251,5.58055251641138,208.175714285714,329.998571428571,0.595638667484161,0.944201921111792,1.58519245417676,107.878571428571,244.435714285714,0.308665440425097,0.699386879215205,2.26584122359796,22.35,114.744285714286,0.0639484978540772,0.328309830369916,5.13397251518057
800,33.53875,103.9875,0.0839518147684606,0.260294117647059,3.10051805747084,13.8425,50.8875,0.0346495619524406,0.127377972465582,3.67617843597616,4.1925,20.95375,0.0104943679599499,0.0524499374217772,4.99791293977341,67.63625,165.975,0.16930225281602,0.415456821026283,2.45393557448853,27.38875,91.65,0.0685575719649562,0.229411764705882,3.34626443338962,5.98,36.89,0.0149687108886108,0.0923404255319149,6.16889632107023,146.1525,342.1625,0.365838548185232,0.856476846057572,2.3411334051761,56.30375,193.9525,0.140935544430538,0.485488110137672,3.44475279177675,14.41375,82.49625,0.0360794743429287,0.206498748435544,5.7234411586159,225.51625,381.635,0.564496245306633,0.955281602002503,1.6922727297922,117.2025,275.63625,0.29337296620776,0.689953066332916,2.35179497024381,21.64375,123.94,0.0541770963704631,0.310237797246558,5.7263644239099,239.44625,373.96875,0.599364831038798,0.936091989987484,1.5618066685112,108.44875,269.9475,0.271461201501877,0.675713391739675,2.48917115227239,23.1775,121.945,0.0580162703379224,0.305244055068836,5.26135260489699
