2;50;0.1;get_points;903;0.7371428571428571
2;50;0.1;get_exponential_points;466;0.38040816326530613
2;50;0.01;get_uniform_points;1207;0.9853061224489796
2;50;0.01;get_points;1193;0.9738775510204082
2;50;0.01;get_exponential_points;652;0.5322448979591837
2;50;0.2;get_exponential_points;377;0.30775510204081635
2;50;0.1;get_uniform_points;960;0.7836734693877551
2;50;0.5;get_points;506;0.41306122448979593
2;50;0.5;get_exponential_points;291;0.23755102040816325
2;50;0.2;get_points;755;0.6163265306122448
2;50;0.5;get_uniform_points;563;0.4595918367346939
2;50;2.0;get_points;356;0.29061224489795917
2;50;0.2;get_uniform_points;750;0.6122448979591837
2;50;2.0;get_uniform_points;365;0.2979591836734694
2;50;2.0;get_exponential_points;248;0.20244897959183675
